"domain_code","domain","area_code_m49","area","element_code","element","item_code_cpc","species","year_code","year","unit","value","flag","flag_description","note"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2004,2004,"An",5400000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2004,2004,"An",13800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2004,2004,"An",14500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2005,2005,"An",7230000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2005,2005,"An",5500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2005,2005,"An",14600000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2005,2005,"An",14700000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2006,2006,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2006,2006,"An",5350000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2006,2006,"An",12700000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2006,2006,"An",13100000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2007,2007,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2007,2007,"An",4815000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2007,2007,"An",11430000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2007,2007,"An",11790000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2008,2008,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2008,2008,"An",4800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2008,2008,"An",11420000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2008,2008,"An",11780000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2009,2009,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2009,2009,"An",4780000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2009,2009,"An",11400000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2009,2009,"An",11760000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2010,2010,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2010,2010,"An",4800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2010,2010,"An",11500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2010,2010,"An",12000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2011,2011,"An",7000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2011,2011,"An",4850000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2011,2011,"An",11500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2011,2011,"An",12250000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2012,2012,"An",7100000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2012,2012,"An",4870000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2012,2012,"An",11500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2012,2012,"An",12300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2013,2013,"An",7100000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2013,2013,"An",4870000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2013,2013,"An",11550000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2013,2013,"An",12300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2014,2014,"An",7150000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2014,2014,"An",4900000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2014,2014,"An",11600000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2014,2014,"An",12325000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2015,2015,"An",7214325,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2015,2015,"An",4889370,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2015,2015,"An",11646431,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2015,2015,"An",12039813,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2016,2016,"An",7275002,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2016,2016,"An",4850000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2016,2016,"An",11691563,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2016,2016,"An",11591374,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2017,2017,"An",7331790,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2017,2017,"An",4800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2017,2017,"An",11732441,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2017,2017,"An",11000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2018,2018,"An",7386677,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2018,2018,"An",4789337,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2018,2018,"An",11726154,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2018,2018,"An",10884436,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2019,2019,"An",7439553,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2019,2019,"An",4800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2019,2019,"An",11701276,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2019,2019,"An",11000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2020,2020,"An",7490891,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2020,2020,"An",4778805,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2020,2020,"An",11670251,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2020,2020,"An",11124391,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2021,2021,"An",7515781,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2021,2021,"An",4789380,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2021,2021,"An",11437018,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2021,2021,"An",10565692,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2022,2022,"An",7537650,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2022,2022,"An",4789395,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2022,2022,"An",11374244,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2022,2022,"An",9828805,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2023,2023,"An",7567111,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2023,2023,"An",4785860,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2023,2023,"An",11337673,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2023,2023,"An",8962290,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2024,2024,"An",7593176,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2024,2024,"An",4788212,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2024,2024,"An",11301103,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2024,2024,"An",7987932,"E","Estimated value",""
